car_ID,symboling,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,hp_per_litre,weight_per_hp,mpg_combined,engine_per_weight,car_volume,wheelbase_ratio,log_price,is_luxury,is_powerful,is_fuel_efficient,fueltype_gas,aspiration_turbo,doornumber_two,carbody_hardtop,carbody_hatchback,carbody_sedan,carbody_wagon,drivewheel_fwd,drivewheel_rwd,enginelocation_rear,enginetype_dohcv,enginetype_l,enginetype_ohc,enginetype_ohcf,enginetype_ohcv,enginetype_rotor,cylindernumber_five,cylindernumber_four,cylindernumber_six,cylindernumber_three,cylindernumber_twelve,cylindernumber_two,fuelsystem_2bbl,fuelsystem_4bbl,fuelsystem_idi,fuelsystem_mfi,fuelsystem_mpfi,fuelsystem_spdi,fuelsystem_spfi
11,2,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,23,29,16430.0,0.926605504587156,23.480392156862745,26.0,0.045075125208681135,622095.5519999999,0.5723981900452488,9.706925073451831,0,0,0,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
12,0,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,23,29,16925.0,0.926605504587156,23.480392156862745,26.0,0.045075125208681135,622095.5519999999,0.5723981900452488,9.736606180230051,0,0,0,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
13,0,101.2,176.8,64.8,54.3,2710,164,3.31,3.19,9.0,121,4250,21,28,20970.0,0.7333333333333333,22.21311475409836,24.5,0.06049428255256363,622095.5519999999,0.5723981900452488,9.950895809931119,1,0,0,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
14,0,101.2,176.8,64.8,54.3,2765,164,3.31,3.19,9.0,121,4250,21,28,21105.0,0.7333333333333333,22.66393442622951,24.5,0.05929139551699204,622095.5519999999,0.5723981900452488,9.957312639231036,1,0,0,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
15,1,103.5,189.0,66.9,55.7,3055,164,3.31,3.19,9.0,121,4250,20,25,24565.0,0.7333333333333333,25.040983606557376,22.5,0.05366492146596859,704276.3700000001,0.5476190476190477,10.10911865209904,1,0,0,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
16,0,103.5,189.0,66.9,55.7,3230,209,3.62,3.39,8.0,182,5400,16,22,30760.0,0.8666666666666667,17.650273224043715,19.0,0.06468585577220674,704276.3700000001,0.5476190476190477,10.334002932844076,1,1,0,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
17,0,103.5,193.8,67.9,53.7,3380,209,3.62,3.39,8.0,182,5400,16,22,41315.0,0.8666666666666667,18.469945355191257,19.0,0.06181603076013014,706639.3740000002,0.5340557275541795,10.629005113126524,1,1,0,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
18,0,110.0,197.0,70.9,56.3,3505,209,3.62,3.39,8.0,182,5400,15,20,36880.0,0.8666666666666667,19.153005464480874,17.5,0.059612093553907584,786358.99,0.5583756345177665,10.515451792270389,1,1,0,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
19,2,88.4,141.1,60.3,53.2,1488,61,2.91,3.03,9.5,48,5100,47,53,5151.0,0.7741935483870968,30.367346938775512,50.0,0.0409670920080591,452643.156,0.6265060240963856,8.54714026778419,0,0,1,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
20,1,94.5,155.9,63.6,52.0,1874,90,3.03,3.11,9.6,70,5400,38,43,6295.0,0.7692307692307693,26.3943661971831,40.5,0.048,515592.48,0.6061577934573444,8.74766979009724,0,0,1,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
21,0,94.5,158.8,63.6,52.0,1909,90,3.03,3.11,9.6,70,5400,38,43,6575.0,0.7692307692307693,26.887323943661972,40.5,0.04712041884816754,525183.36,0.5950881612090679,8.791181936736017,0,0,1,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
22,1,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.41,68,5500,37,41,5572.0,0.7472527472527473,27.18840579710145,39.0,0.04794885455514118,509815.59199999995,0.5956770502225047,8.625688787569537,0,0,1,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
23,1,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.4,68,5500,31,38,6377.0,0.7472527472527473,27.18840579710145,34.5,0.04794885455514118,509815.59199999995,0.5956770502225047,8.760609847570002,0,0,1,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
24,1,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102,5500,24,30,7957.0,1.0303030303030303,20.660194174757283,27.0,0.046031000469704084,509815.59199999995,0.5956770502225047,8.981932990986873,0,0,0,True,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
25,1,93.7,157.3,63.8,50.6,1967,90,2.97,3.23,9.4,68,5500,31,38,6229.0,0.7472527472527473,28.507246376811594,34.5,0.04573170731707317,507808.444,0.5956770502225047,8.737131611781498,0,0,1,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
26,1,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,31,38,6692.0,0.7472527472527473,28.82608695652174,34.5,0.04522613065326633,507808.444,0.5956770502225047,8.808817483100642,0,0,1,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
27,1,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,31,38,7609.0,0.7472527472527473,28.82608695652174,34.5,0.04522613065326633,507808.444,0.5956770502225047,8.937218450855731,0,0,1,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
28,1,93.7,157.3,63.8,50.6,2191,98,3.03,3.39,7.6,102,5500,24,30,8558.0,1.0303030303030303,21.271844660194176,27.0,0.04470802919708029,507808.444,0.5956770502225047,9.05473863988161,0,0,0,True,True,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
29,-1,103.3,174.6,64.6,59.8,2535,122,3.34,3.46,8.5,88,5000,24,30,8921.0,0.7154471544715447,28.48314606741573,27.0,0.04810725552050473,674493.7679999998,0.5916380297823597,9.09627541568821,0,0,0,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
30,3,95.9,173.2,66.3,50.2,2811,156,3.6,3.9,7.0,145,5000,19,24,12964.0,0.9235668789808917,19.253424657534246,21.5,0.05547652916073969,576454.632,0.5536951501154735,9.470008697972764,0,1,0,True,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
31,2,86.6,144.6,63.9,50.8,1713,92,2.91,3.41,9.6,58,4800,49,54,6479.0,0.6236559139784946,29.033898305084747,51.5,0.05367561260210035,469388.95199999993,0.598893499308437,8.776475789346321,0,0,1,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
32,2,86.6,144.6,63.9,50.8,1819,92,2.91,3.41,9.2,76,6000,31,38,6855.0,0.8172043010752689,23.623376623376622,34.5,0.05054945054945055,469388.95199999993,0.598893499308437,8.832879460277615,0,0,1,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
33,1,93.7,150.0,64.0,52.6,1837,79,2.91,3.07,10.1,60,5500,38,42,5399.0,0.75,30.114754098360656,40.0,0.04298150163220892,504960.0,0.6246666666666667,8.594154232552366,0,0,1,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
34,1,93.7,150.0,64.0,52.6,1940,92,2.91,3.41,9.2,76,6000,30,34,6529.0,0.8172043010752689,25.194805194805195,32.0,0.04739824832560536,504960.0,0.6246666666666667,8.784162222270476,0,0,0,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
35,1,93.7,150.0,64.0,52.6,1956,92,2.91,3.41,9.2,76,6000,30,34,7129.0,0.8172043010752689,25.4025974025974,32.0,0.04701073071027082,504960.0,0.6246666666666667,8.872066513408342,0,0,0,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
36,0,96.5,163.4,64.0,54.5,2010,92,2.91,3.41,9.2,76,6000,30,34,7295.0,0.8172043010752689,26.103896103896105,32.0,0.04574838388861263,569939.2000000001,0.5905752753977968,8.895081531754167,0,0,0,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
37,0,96.5,157.1,63.9,58.3,2024,92,2.92,3.41,9.2,76,6000,30,34,7295.0,0.8172043010752689,26.285714285714285,32.0,0.0454320987654321,585255.6269999999,0.614258434118396,8.895081531754167,0,0,0,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
38,0,96.5,167.5,65.2,53.3,2236,110,3.15,3.58,9.0,86,5800,27,33,7895.0,0.7747747747747747,25.701149425287355,30.0,0.04917299955297273,582089.2999999999,0.5761194029850746,8.974111581113318,0,0,0,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
39,0,96.5,167.5,65.2,53.3,2289,110,3.15,3.58,9.0,86,5800,27,33,9095.0,0.7747747747747747,26.310344827586206,30.0,0.048034934497816595,582089.2999999999,0.5761194029850746,9.115590035430372,0,0,0,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
40,0,96.5,175.4,65.2,54.1,2304,110,3.15,3.58,9.0,86,5800,27,33,8845.0,0.7747747747747747,26.482758620689655,30.0,0.04772234273318872,618691.9280000001,0.5501710376282782,9.087720658428273,0,0,0,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
41,0,96.5,175.4,62.5,54.1,2372,110,3.15,3.58,9.0,86,5800,27,33,10295.0,0.7747747747747747,27.264367816091955,30.0,0.046354825115887066,593071.25,0.5501710376282782,9.239510749275963,0,0,0,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
42,0,96.5,175.4,65.2,54.1,2465,110,3.15,3.58,9.0,101,5800,24,28,12945.0,0.9099099099099099,24.166666666666668,26.0,0.04460665044606651,618691.9280000001,0.5501710376282782,9.468542139105455,0,0,0,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
43,1,96.5,169.1,66.0,51.0,2293,110,3.15,3.58,9.1,100,5500,25,31,10345.0,0.9009009009009009,22.702970297029704,28.0,0.04795117698343505,569190.6,0.5706682436428149,9.24435525056346,0,0,0,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
44,0,94.3,170.7,61.8,53.5,2337,111,3.31,3.23,8.5,78,4800,24,29,6785.0,0.6964285714285714,29.582278481012658,26.5,0.0474764756201882,564385.4099999999,0.552431165787932,8.822616945344176,0,0,0,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
45,1,94.5,155.9,63.6,52.0,1874,90,3.03,3.11,9.6,70,5400,38,43,8916.5,0.7692307692307693,26.3943661971831,40.5,0.048,515592.48,0.6061577934573444,9.095770917233047,0,0,1,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
46,0,94.5,155.9,63.6,52.0,1909,90,3.03,3.11,9.6,70,5400,38,43,8916.5,0.7692307692307693,26.887323943661972,40.5,0.04712041884816754,515592.48,0.6061577934573444,9.095770917233047,0,0,1,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
47,2,96.0,172.6,65.2,51.4,2734,119,3.43,3.23,9.2,90,5000,24,29,11048.0,0.75,30.043956043956044,26.5,0.043510054844606946,578430.928,0.5561993047508691,9.310095205113175,0,0,0,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
48,0,113.0,199.6,69.6,52.8,4066,258,3.63,4.17,8.1,176,4750,15,19,32250.0,0.6795366795366795,22.971751412429377,17.0,0.0634374231620359,733506.0479999998,0.5661322645290582,10.381304329495126,1,1,0,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
49,0,113.0,199.6,69.6,52.8,4066,258,3.63,4.17,8.1,176,4750,15,19,35550.0,0.6795366795366795,22.971751412429377,17.0,0.0634374231620359,733506.0479999998,0.5661322645290582,10.47872356423098,1,1,0,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
50,0,102.0,191.7,70.6,47.8,3950,326,3.54,2.76,11.5,262,5000,13,17,36000.0,0.8012232415902141,15.019011406844106,15.0,0.08251075677043786,646926.1559999998,0.5320813771517997,10.491301994830229,1,1,0,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
51,1,93.1,159.1,64.2,54.1,1890,91,3.03,3.15,9.0,68,5000,30,31,5195.0,0.7391304347826086,27.391304347826086,30.5,0.048122686409307246,552589.302,0.5851665619107479,8.55564437779049,0,0,0,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
52,1,93.1,159.1,64.2,54.1,1900,91,3.03,3.15,9.0,68,5000,31,38,6095.0,0.7391304347826086,27.536231884057973,34.5,0.047869542346133616,552589.302,0.5851665619107479,8.715388097366482,0,0,1,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
53,1,93.1,159.1,64.2,54.1,1905,91,3.03,3.15,9.0,68,5000,31,38,6795.0,0.7391304347826086,27.608695652173914,34.5,0.047743966421825816,552589.302,0.5851665619107479,8.824089482791823,0,0,1,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
54,1,93.1,166.8,64.2,54.1,1945,91,3.03,3.15,9.0,68,5000,31,38,6695.0,0.7391304347826086,28.18840579710145,34.5,0.046762589928057555,579333.0960000001,0.5581534772182254,8.80926561216931,0,0,1,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
55,1,93.1,166.8,64.2,54.1,1950,91,3.08,3.15,9.0,68,5000,31,38,7395.0,0.7391304347826086,28.26086956521739,34.5,0.04664274730907227,579333.0960000001,0.5581534772182254,8.908694592507015,0,0,1,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
56,3,95.3,169.0,65.7,49.6,2380,70,3.33,3.255,9.4,101,6000,17,23,10945.0,1.4225352112676057,23.333333333333332,20.0,0.029399412011759767,550723.68,0.563905325443787,9.300729371703863,0,0,0,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
57,3,95.3,169.0,65.7,49.6,2380,70,3.33,3.255,9.4,101,6000,17,23,11845.0,1.4225352112676057,23.333333333333332,20.0,0.029399412011759767,550723.68,0.563905325443787,9.37974553683691,0,0,0,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
58,3,95.3,169.0,65.7,49.6,2385,70,3.33,3.255,9.4,101,6000,17,23,13645.0,1.4225352112676057,23.38235294117647,20.0,0.02933780385582565,550723.68,0.563905325443787,9.52120171737537,0,0,0,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
59,3,95.3,169.0,65.7,49.6,2500,80,3.33,3.255,9.4,135,6000,16,23,15645.0,1.6666666666666667,18.38235294117647,19.5,0.03198720511795282,550723.68,0.563905325443787,9.657970572245025,0,0,0,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
60,1,98.8,177.8,66.5,53.7,2385,122,3.39,3.39,8.6,84,4800,26,32,8845.0,0.6829268292682927,28.058823529411764,29.0,0.05113160100586756,634932.6900000001,0.5556805399325084,9.087720658428273,0,0,0,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
61,0,98.8,177.8,66.5,55.5,2410,122,3.39,3.39,8.6,84,4800,26,32,8495.0,0.6829268292682927,28.352941176470587,29.0,0.05060141020323517,656215.3500000001,0.5556805399325084,9.04735074348172,0,0,0,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
62,1,98.8,177.8,66.5,53.7,2385,122,3.39,3.39,8.6,84,4800,26,32,10595.0,0.6829268292682927,28.058823529411764,29.0,0.05113160100586756,634932.6900000001,0.5556805399325084,9.26823185039196,0,0,0,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
63,0,98.8,177.8,66.5,55.5,2410,122,3.39,3.39,8.6,84,4800,26,32,10245.0,0.6829268292682927,28.352941176470587,29.0,0.05060141020323517,656215.3500000001,0.5556805399325084,9.234642664499148,0,0,0,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
64,0,98.8,177.8,66.5,55.5,2443,122,3.39,3.39,22.7,64,4650,36,42,10795.0,0.5203252032520326,37.58461538461538,39.0,0.04991816693944354,656215.3500000001,0.5556805399325084,9.286930974137896,0,0,1,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
65,0,98.8,177.8,66.5,55.5,2425,122,3.39,3.39,8.6,84,4800,26,32,11245.0,0.6829268292682927,28.529411764705884,29.0,0.05028854080791426,656215.3500000001,0.5556805399325084,9.327767788852148,0,0,0,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
66,0,104.9,175.0,66.1,54.4,2670,140,3.76,3.16,8.0,120,5000,19,27,18280.0,0.851063829787234,22.06611570247934,23.0,0.05241482590789966,629271.9999999999,0.5994285714285714,9.813617548107086,0,0,0,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
67,0,104.9,175.0,66.1,54.4,2700,134,3.43,3.64,22.0,72,4200,31,39,18344.0,0.5333333333333333,36.986301369863014,35.0,0.04961125509070714,629271.9999999999,0.5994285714285714,9.817112336789382,0,0,1,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
68,-1,110.0,190.9,70.3,56.5,3515,183,3.58,3.64,21.5,123,4350,22,25,25552.0,0.6684782608695652,28.346774193548388,23.5,0.05204778156996587,758245.255,0.5762179151388162,10.14851000556878,1,0,0,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
69,-1,110.0,190.9,70.3,58.7,3750,183,3.58,3.64,21.5,123,4350,22,25,28248.0,0.6684782608695652,30.241935483870968,23.5,0.04878699013596374,787769.849,0.5762179151388162,10.248813337717966,1,0,0,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
70,0,106.7,187.5,70.3,54.9,3495,183,3.58,3.64,21.5,123,4350,22,25,28176.0,0.6684782608695652,28.18548387096774,23.5,0.05234553775743707,723650.625,0.5690666666666667,10.246261321304372,1,0,0,False,True,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
71,-1,115.6,202.6,71.7,56.3,3770,183,3.58,3.64,21.5,123,4350,22,25,31600.0,0.6684782608695652,30.403225806451612,23.5,0.04852824184566428,817837.446,0.5705824284304047,10.360944044643913,1,0,0,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
72,-1,115.6,202.6,71.7,56.5,3740,234,3.46,3.1,8.3,155,4750,16,18,34184.0,0.6595744680851063,23.974358974358974,17.0,0.06255012028869286,820742.73,0.5705824284304047,10.439542230347895,1,1,0,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
73,3,96.6,180.3,70.5,50.8,3685,234,3.46,3.1,8.3,155,4750,16,18,35056.0,0.6595744680851063,23.621794871794872,17.0,0.06348345089527943,645726.42,0.5357737104825291,10.464730587215707,1,1,0,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
74,0,120.9,208.1,71.7,56.7,3900,308,3.8,3.35,8.0,184,4500,14,16,40960.0,0.5954692556634305,21.08108108108108,15.0,0.07895411432965906,846007.6590000001,0.5809706871696301,10.620375673477872,1,1,0,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
75,1,112.0,199.2,72.0,55.4,3715,304,3.8,3.35,8.0,184,4500,14,16,45400.0,0.6032786885245902,20.08108108108108,15.0,0.08180839612486544,794568.96,0.5622489959839357,10.723289410218579,1,1,0,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
76,1,102.7,178.4,68.0,54.8,2910,140,3.78,3.12,8.0,175,5000,19,24,16503.0,1.2411347517730495,16.53409090909091,21.5,0.04809343868086568,664789.76,0.5756726457399103,9.711358054751088,0,1,0,True,True,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
77,2,93.7,157.3,64.4,50.8,1918,92,2.97,3.23,9.4,68,5500,37,41,5389.0,0.7311827956989247,27.797101449275363,39.0,0.047941636268890045,514610.096,0.5956770502225047,8.592300663903043,0,0,1,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
78,2,93.7,157.3,64.4,50.8,1944,92,2.97,3.23,9.4,68,5500,31,38,6189.0,0.7311827956989247,28.17391304347826,34.5,0.04730077120822622,514610.096,0.5956770502225047,8.730690365678642,0,0,1,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
